distID,Year,val,idrank,CalvingGround
mr2009a23,2009,14375.4315863263,1,On
mr2009a09,2009,15375.5293171587,2,On
mr2009a16,2009,15397.6268540956,3,On
mr2009a25,2009,15564.2160320551,4,On
mr2009a04,2009,15971.5183067152,5,On
mr2009a11,2009,16244.2103121993,6,On
mr2009a01,2009,16254.8484076784,7,On
mr2009a27,2009,16386.4416815091,8,On
mr2009a21,2009,16606.7597813171,9,On
mr2009a08,2009,16990.4772730495,10,On
mr2009a17,2009,17121.5140929228,11,On
mr2009a03,2009,18071.304972102,12,On
mr2009a06,2009,18742.1880525205,13,On
mr2009a02,2009,19821.2062203854,14,On
mr2009a24,2009,20849.6955809901,15,On
mr2009a07,2009,20879.6618086852,16,Off
mr2009a18,2009,24474.1478568719,17,Off
mr2009a26,2009,32239.1688878744,18,Off
mr2009a14,2009,34715.6515882745,19,Off
mr2009a15,2009,45240.1466415555,20,Off
mr2009a13,2009,45716.8262812287,21,Off
mr2009a21,2010,17092.284342579,1,On
mr2009a16,2010,17109.5073954481,2,On
mr2009a11,2010,17493.3369186783,3,On
mr2009a27,2010,17732.1788205263,4,On
mr2009a04,2010,17836.240686253,5,On
mr2009a17,2010,17951.6106700751,6,On
mr2009a09,2010,18813.2980325424,7,On
mr2009a03,2010,19262.3448630094,8,On
mr2009a02,2010,19430.7840738168,9,On
mr2009a30,2010,19631.0066561772,10,On
mr2009a08,2010,19734.7114785532,11,On
mr2009a06,2010,19772.5811224073,12,On
mr2009a07,2010,20045.060092773,13,On
mr2009a25,2010,20465.6957952465,14,On
mr2009a29,2010,21902.8835603963,15,On
mr2009a18,2010,23401.2794853162,16,On
mr2009a24,2010,24118.4842911777,17,On
mr2009a26,2010,28601.9689527367,18,On
mr2009a14,2010,28763.2453138287,19,On
mr2009a31,2010,29098.7324620993,20,Off
mr2009a15,2010,51129.2493061981,21,Off
mr2009a28,2010,56655.2297537209,22,Off
mr2009a10,2011,16944.9833971551,1,On
mr2011a05,2011,17587.9784798547,2,On
mr2011a06,2011,17700.7623899525,3,On
mr2010a01,2011,17910.0777935732,4,On
mr2009a02,2011,18044.313637571,5,On
mr2009a25,2011,18166.8545645459,6,On
mr2009a09,2011,18264.528470733,7,On
mr2009a21,2011,18510.37435894,8,On
mr2009a16,2011,18812.7039103072,9,On
mr2009a11,2011,18823.7549589407,10,On
mr2009a30,2011,19023.6414379512,11,On
mr2009a06,2011,19466.9187110501,12,On
mr2009a03,2011,19489.6473384261,13,On
mr2010a03,2011,19569.7665519226,14,On
mr2009a18,2011,20135.9289920518,15,On
mr2011a02,2011,20192.7129246487,16,On
mr2009a07,2011,20330.0663768185,17,On
mr2011a03,2011,21468.4580403038,18,On
mr2009a08,2011,22323.3882233935,19,On
mr2009a24,2011,23089.0945681337,20,On
mr2009a31,2011,26525.934350822,21,On
mr2011a01,2011,30290.5829941301,22,Off
mr2011a04,2011,41371.4607751867,23,Off
mr2009a28,2011,61609.5858553778,24,Off
mr2009a11,2012,12426.8704160173,1,On
mr2009a10,2012,16983.5859987469,2,On
mr2009a25,2012,17174.5800814422,3,On
mr2009a30,2012,17210.1993843277,4,On
mr2009a09,2012,17212.6966112499,5,On
mr2010a01,2012,17433.97758544,6,On
mr2009a02,2012,17551.2039519111,7,On
mr2009a08,2012,17648.7999656742,8,On
mr2009a21,2012,22433.6349016617,9,On
mr2011a05,2012,22483.1658164486,10,On
mr2009a06,2012,23806.6331022912,11,On
mr2009a03,2012,23839.9737222386,12,On
mr2009a18,2012,26261.8449293262,13,On
mr2009a31,2012,27818.6673765983,14,On
mr2009a26,2012,29040.8205720082,15,On
mr2011a01,2012,29571.9014968058,16,On
mr2011a02,2012,32390.7665574571,17,Off
mr2011a04,2012,35820.5968388771,18,Off
mr2009a07,2012,39508.0339556703,19,Off
mr2009a28,2012,45998.7353154199,20,Off
mr2009a25,2013,27687.102724682,1,On
mr2012a06,2013,27947.979830157,2,On
mr2009a09,2013,28017.0294761442,3,On
mr2012a04,2013,30177.7223332067,4,On
mr2012a05,2013,31086.2365087933,5,On
mr2009a06,2013,31198.9895174467,6,On
mr2009a10,2013,31297.6242813775,7,On
mr2012a03,2013,31363.5576804679,8,On
mr2009a03,2013,31541.3839260171,9,On
mr2011a04,2013,32023.9662000683,10,On
mr2009a31,2013,32332.978782937,11,Off
mr2011a01,2013,38820.1998085085,12,Off
mr2012a02,2013,38924.5510627497,13,Off
mr2012a01,2013,39494.6694937461,14,Off
