ID,Year,NNdist,CalvingGround,Calved,CalvingDate,Lost,LossDate,NNpart,CalvingGround2,NNdistkm
mr2009a07,2009,20879.6618086852,Off,1,2009-06-02,1,2009-06-05,13389.9003062635,0,20.8796618086852
mr2009a07,2012,39508.0339556703,Off,1,2012-05-22,0,,41193.1637531373,0,39.5080339556703
mr2009a13,2009,45716.8262812287,Off,1,2009-05-22,0,,29532.4733481238,0,45.7168262812287
mr2009a14,2009,34715.6515882745,Off,1,2009-06-18,1,2009-06-03,40982.2378711889,0,34.7156515882745
mr2009a15,2009,45240.1466415555,Off,1,2009-05-22,0,,35770.2586386004,0,45.2401466415555
mr2009a15,2010,51129.2493061981,Off,1,2010-06-04,1,2010-06-19,52048.3129046325,0,51.1292493061981
mr2009a18,2009,24474.1478568719,Off,1,2009-05-22,0,,21605.7580154882,0,24.4741478568719
mr2009a26,2009,32239.1688878744,Off,1,2009-05-22,0,,14892.1923997564,0,32.2391688878744
mr2009a28,2010,56655.2297537209,Off,1,2010-05-23,1,,41378.7385697982,0,56.6552297537209
mr2009a28,2011,61609.5858553778,Off,1,2011-05-22,0,,60801.017492673,0,61.6095858553778
mr2009a28,2012,45998.7353154199,Off,,,0,,,0,45.9987353154199
mr2009a31,2010,29098.7324620993,Off,1,2010-05-22,0,,13460.2983451532,0,29.0987324620993
mr2009a31,2013,32332.978782937,Off,1,2013-05-22,0,,25906.7756192212,0,32.332978782937
mr2011a01,2011,30290.5829941301,Off,1,2011-06-06,1,2011-06-12,17999.872590328,0,30.2905829941301
mr2011a01,2013,38820.1998085085,Off,1,2013-05-22,0,,21294.6587945348,0,38.8201998085085
mr2011a02,2012,32390.7665574571,Off,1,2012-05-22,0,,11289.1079239201,0,32.3907665574571
mr2011a04,2011,41371.4607751867,Off,1,2011-05-28,1,2011-06-08,36994.5728039665,0,41.3714607751867
mr2011a04,2012,35820.5968388771,Off,1,2012-05-25,0,,39356.0516253537,0,35.8205968388771
mr2012a01,2013,39494.6694937461,Off,1,2013-05-27,1,2013-06-04,37529.3150270081,0,39.4946694937461
mr2012a02,2013,38924.5510627497,Off,1,2013-05-22,0,,33924.6621652102,0,38.9245510627497
